onlineProdSn,onlineProdCode,brandSn,brandName,url,prodName,salePrice,description,mainCategory,subCategory,detailCategory,reviewCount,avgRating,imageUrl,price,discountRate,ingredients
63829,411110000684,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63829,피치 블랙티 20입 (원산지:상세설명참조),9900,,뷰티푸드,차(TEA) / 간식,블렌딩티,117,4.88,https://images-kr.amoremall.com/products/411110000684/411110000684_01.jpg?1737096971538,11000,10,
60369,411110000612,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60369,스윗 허니 블랙티 20입 (원산지:상세설명참조),9900,,뷰티푸드,차(TEA) / 간식,블렌딩티,490,4.76,https://images-kr.amoremall.com/products/411110000612/411110000612_01.jpg?1756949258899,11000,10,
58551,411110000589,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58551,히비스커스 선샤인 10입 (원산지:상세설명참조),14850,,뷰티푸드,차(TEA) / 간식,허브차,202,4.92,https://images-kr.amoremall.com/products/411110000589/411110000589_01.jpg?1734935441295,16500,10,
56039,411110000530,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56039,동백이 피는 곶자왈 20입 (원산지:상세설명참조),24300,,뷰티푸드,차(TEA) / 간식,기타 차,272,4.83,https://images-kr.amoremall.com/products/411110000530/411110000530_01.jpg?1740035692721,27000,10,
56036,411110000529,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56036,덖음차 50g (원산지:상세설명참조),13500,,뷰티푸드,차(TEA) / 간식,기타 차,201,4.94,https://images-kr.amoremall.com/products/411110000529/411110000529_01.jpg?1760579987784,15000,10,
53817,411110100497,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53817,콤부차 깔라망고 10입 (원산지:상세설명참조),7200,,뷰티푸드,차(TEA) / 간식,,561,4.79,https://images-kr.amoremall.com/products/411110100497/411110100497_01.jpg?1752034791133,8000,10,
65910,411110000755,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65910,마롱 크림 블랙티 10입 (원산지:상세설명참조),14850,,뷰티푸드,차(TEA) / 간식,블렌딩티,26,4.77,https://images-kr.amoremall.com/products/411110000755/411110000755_01.jpg?1750915403078,16500,10,
55799,411110000507,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=55799,콤부차 리치피치 10입 (원산지:상세설명참조),7200,,뷰티푸드,차(TEA) / 간식,,421,4.79,https://images-kr.amoremall.com/products/411110000507/411110000507_01.jpg?1752034492409,8000,10,
53121,411110100484,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53121,제주숲 홍차 10입 (원산지:상세설명참조),14850,제주 숲 차밭의 어린 찻잎으로 만든 산뜻한 향미의 홍차,뷰티푸드,차(TEA) / 간식,녹차,48,4.96,https://images-kr.amoremall.com/products/411110100484/411110100484_01.jpg?1736990828892,16500,10,
53048,411110000458,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53048,세작 80g (원산지:상세설명참조),36000,제주 차밭의 어린 찻잎으로 만든 작설차,뷰티푸드,차(TEA) / 간식,녹차,232,4.88,https://images-kr.amoremall.com/products/411110000458/411110000458_01.jpg?1669793591206,40000,10,
63849,411110000686,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63849,제주 화산암차 10입 (원산지:상세설명참조),14850,,뷰티푸드,차(TEA) / 간식,,14,4.64,https://images-kr.amoremall.com/products/411110000686/411110000686_01.jpg?1737520753194,16500,10,
63670,411110000681,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63670,루이보스 문라이트 20입 (원산지:상세설명참조),24300,,뷰티푸드,차(TEA) / 간식,,86,4.91,https://images-kr.amoremall.com/products/411110000681/411110000681_01.jpg?1735869489697,27000,10,
63394,411110000674,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63394,귤꽃향을 품은 우잣담 20입 (원산지:상세설명참조),24300,,뷰티푸드,차(TEA) / 간식,블렌딩티,85,4.81,https://images-kr.amoremall.com/products/411110000674/411110000674_01.jpg?1733290026456,27000,10,
60367,411110000610,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60367,시그니처 얼그레이 10입 (원산지:상세설명참조),14850,,뷰티푸드,차(TEA) / 간식,블렌딩티,48,4.85,https://images-kr.amoremall.com/products/411110000610/411110000610_01.jpg?1739406548095,16500,10,
65874,411110000753,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65874,베리 가든 그린티 20입 (원산지:상세설명참조),24300,,뷰티푸드,차(TEA) / 간식,블렌딩티,18,4.94,https://images-kr.amoremall.com/products/411110000753/411110000753_01.jpg?1750669243226,27000,10,
65872,411110000751,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65872,무화과 애플 블랙티 20입 (원산지:상세설명참조),24300,,뷰티푸드,차(TEA) / 간식,블렌딩티,18,4.83,https://images-kr.amoremall.com/products/411110000751/411110000751_01.jpg?1750668853658,27000,10,
63071,411110000661,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63071,마롱 글라세 블랙티 20입 (원산지:상세설명참조),9900,,뷰티푸드,차(TEA) / 간식,블렌딩티,253,4.75,https://images-kr.amoremall.com/products/411110000661/411110000661_01.jpg?1730963620938,11000,10,
61652,411110000632,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61652,달빛 꿀배 콜드브루 티  20입 (원산지:상세설명참조),12600,,뷰티푸드,차(TEA) / 간식,블렌딩티,162,4.81,https://images-kr.amoremall.com/products/411110000632/411110000632_01.jpg?1747803178855,14000,10,
53073,411110000472,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53073,모로칸 민트티 10입 (원산지:상세설명참조),14850,기분좋은 상쾌함을 선사하는 허브차,뷰티푸드,차(TEA) / 간식,허브차,157,4.87,https://images-kr.amoremall.com/products/411110000472/411110000472_01.jpg?1733271279649,16500,10,
65909,411110000754,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65909,무화과 애플 블랙티 10입 (원산지:상세설명참조),14850,,뷰티푸드,차(TEA) / 간식,블렌딩티,28,4.86,https://images-kr.amoremall.com/products/411110000754/411110000754_01.jpg?1750915067459,16500,10,
64401,411110000709,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64401,베리 바닐라 그린티 20입 (원산지:상세설명참조),9900,,뷰티푸드,차(TEA) / 간식,기타 차,96,4.75,https://images-kr.amoremall.com/products/411110000709/411110000709_01.jpg?1757376034586,11000,10,
61651,411110000631,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61651,선샤인 머스캣 콜드브루 티 20입 (원산지:상세설명참조),12600,,뷰티푸드,차(TEA) / 간식,블렌딩티,129,4.74,https://images-kr.amoremall.com/products/411110000631/411110000631_01.jpg?1747803084727,14000,10,
58552,411110000590,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58552,콤부차 애플파인 10입 (원산지:상세설명참조),7200,,뷰티푸드,차(TEA) / 간식,기타 차,562,4.76,https://images-kr.amoremall.com/products/411110000590/411110000590_01.jpg?1752034919898,8000,10,
57697,411110000561,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57697,루이보스 문라이트 10입 (원산지:상세설명참조),14850,,뷰티푸드,차(TEA) / 간식,허브차,84,4.89,https://images-kr.amoremall.com/products/411110000561/411110000561_01.jpg?1736986527795,16500,10,
53042,411110100453,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53042,귤꽃향을 품은 우잣담 10입 (원산지:상세설명참조),14850,제주 귤꽃향의 싱그러움에 감귤의 상큼함을 더한 블렌디드티,뷰티푸드,차(TEA) / 간식,블렌딩티,29,4.72,https://images-kr.amoremall.com/products/411110100453/411110100453_01.jpg?1731024168438,16500,10,
