brandName,prodName,onlineProdSn,onlineProdCode,mainCategory,subCategory,detailCategory,price,salePrice,discountRate,reviewCount,avgRating,imageUrl
려,[아모레몰 ONLY] 루트젠 여성 샴푸 2입 SET (515mlx2),67740,,생활용품,헤어,샴푸,45800,36500,20,24,4.92,https://images-kr.amoremall.com/products/111410100718/111410100718_01.png?1764722966478
려,[2입] 루트젠 두피코어강화 두피 청정샴푸 (515mlx2),67131,,생활용품,헤어,샴푸,37800,33900,10,8,5,https://images-kr.amoremall.com/products/111410000712/111410000712_01.png?1761007756998
려,[2입] 자양윤모 9이엑스 탈모증상전문케어 모근강화 트리트먼트 (330mlx2),67130,,생활용품,헤어,트리트먼트 & 팩,34000,17900,47,25,4.76,https://images-kr.amoremall.com/products/111410000711/111410000711_01.png?1761007339477
려,[2입] 자양윤모 탈모증상전문케어 샴푸 지성두피용 (400mlx2),67129,,생활용품,헤어,샴푸,34000,17200,49,39,4.9,https://images-kr.amoremall.com/products/111410000710/111410000710_01.png?1761006744811
려,[3입] 루트젠 남성 맞춤 탈모증상전문케어 샴푸 (515mlx3),66993,,생활용품,헤어,샴푸,68700,56400,17,7,4.86,https://images-kr.amoremall.com/products/111410000709/111410000709_01.png?1760431916238
려,루트젠 탈모케어 트리플샷 두피리페어 세럼 60ml,66973,,생활용품,헤어,,19900,16900,15,118,4.7,https://images-kr.amoremall.com/products/111410000708/111410000708_01.png?1759206473626
려,[2입] 루트젠 두피코어강화 아쿠아필 두피토닉 (100mlx2),66965,,생활용품,헤어,,33800,28900,14,5,4.6,https://images-kr.amoremall.com/products/111410000707/111410000707_01.png?1759119472456
려,[2입] 루트젠 탈모증상전문케어 두피 에센스 (80mlx2),66964,,생활용품,헤어,,39800,23800,40,311,4.79,https://images-kr.amoremall.com/products/111410000706/111410000706_01.png?1759113023724
려,[2입] 진생보 두피모발영양 샴푸 400ml,64438,,생활용품,헤어,,34000,17900,47,28,4.89,https://images-kr.amoremall.com/products/111410100676/111410100676_01.png?1742350853966
려,[3입] 루트젠 여성 맞춤 탈모증상전문케어 샴푸 (515mlx3),64411,,생활용품,헤어,,68700,52900,22,6,4.83,https://images-kr.amoremall.com/products/111410100675/111410100675_01.png?1742282406732
려,루트젠 여성 맞춤 탈모증상전문케어 샴푸+두피에센스 (515ml / 80ml),63825,,생활용품,헤어,,42800,32900,23,57,4.82,https://images-kr.amoremall.com/products/111410100664/111410100664_01.png?1737076493543
려,루트젠 여성 맞춤 탈모증상전문케어 샴푸+리필 (515ml+400ml),62980,,생활용품,헤어,,40800,30900,24,51,4.86,https://images-kr.amoremall.com/products/111410100646/111410100646_01.png?1730161838837
려,루트젠 탈모증상전문케어 여성 샴푸+남성 샴푸 (515ml/515ml),59515,,생활용품,헤어,,45800,36900,19,70,4.71,https://images-kr.amoremall.com/products/111410100585/111410100585_01.png?1693871459398
려,루트젠 여성 맞춤 탈모증상전문케어 샴푸+트리트먼트 (515ml/515ml),57624,,생활용품,헤어,,45800,36900,19,241,4.83,https://images-kr.amoremall.com/products/111410000560/111410000560_01.png?1680844549495
려,명품 에이치비엑스 탈모증상완화 앰플 샴푸 500ml,55383,,생활용품,헤어,샴푸,33000,29700,10,341,4.76,https://images-kr.amoremall.com/products/111410000525/111410000525_01.png?1667539336756
려,자양윤모 탈모전문케어 경주달밤/여수하늘 트리트먼트 200ml,54584,,생활용품,헤어,트리트먼트 & 팩,14900,7900,46,387,4.73,https://images-kr.amoremall.com/products/111410000511/111410000511_01.png?1663807663897
